title,director,year,country,genre,rating,votes
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,2011,韩国,剧情 喜剧,8.8,613990
恐怖直播,金秉祐 Byeong-woo Kim,2013,韩国,剧情 犯罪 悬疑,8.7,694664
你的名字。,新海诚 Makoto Shinkai,2016,日本,剧情 爱情 动画,8.5,1512295
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,2003,美国,动作 科幻,8.8,473296
三块广告牌,马丁·麦克唐纳 Martin McDonagh,2017,英国 美国,剧情 犯罪,8.7,873925
心迷宫,忻钰坤 Yukun Xin,2014,中国大陆,剧情 犯罪 悬疑,8.8,573481
电锯惊魂,詹姆斯·温 James Wan,2004,美国,悬疑 惊悚 恐怖,8.7,575545
小丑,托德·菲利普斯 Todd Phillips,2019,美国 加拿大,剧情 犯罪 惊悚,8.7,1078246
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,2013,美国,剧情 传记 同性,8.8,481673
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,2013,美国,喜剧 动画 冒险,8.7,882915
谍影重重3,保罗·格林格拉斯 Paul Greengrass,2007,美国 德国 法国 英国,动作 悬疑 惊悚,8.8,444868
背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,中国大陆 中国香港,剧情,9.5,157782
心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020,美国,动画 奇幻 音乐,8.7,1062659
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,2002,巴西 法国,犯罪 剧情,9.0,318419
绿里奇迹,弗兰克·德拉邦特 Frank Darabont,1999,美国,犯罪 剧情 奇幻 悬疑,8.9,362047
爱在午夜降临前,理查德·林克莱特 Richard Linklater,2013,美国 希腊,剧情 爱情,8.9,439914
海街日记,是枝裕和 Hirokazu Koreeda,2015,日本,剧情 家庭,8.8,487514
英雄本色,吴宇森 John Woo,1986,中国香港,剧情 动作 犯罪,8.6,575994
风之谷,宫崎骏 Hayao Miyazaki,1984,日本,动画 奇幻 冒险,8.9,375828
无间道2,刘伟强 / 麦兆辉,2003,中国香港,剧情 犯罪 惊悚,8.8,526523
疯狂的石头,宁浩 Hao Ning,2006,中国大陆 中国香港,喜剧 犯罪,8.6,878142
2001太空漫游,斯坦利·库布里克 Stanley Kubrick,1968,英国 美国,科幻 惊悚 冒险,8.9,364720
纵横四海,吴宇森 John Woo,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,452790
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,美国,喜剧 歌舞 爱情,9.1,248096
卢旺达饭店,特瑞·乔治 Terry George,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,8.9,350683
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,2000,美国,犯罪 剧情 悬疑 惊悚,8.7,638941
小偷家族,是枝裕和 Hirokazu Koreeda,2018,日本,剧情 犯罪 家庭,8.7,859617
