title,year,director,genres,country,language,rating,votes
TME live 五月天“突然好想见到你”线上演唱会,2020,,音乐 / 真人秀,中国台湾,汉语普通话,9.3,15573
天使在美国第一部：千禧年降临 National Theatre Live: Angels in America Part One: Millennium Approaches,2017,玛丽安娜·埃利奥特,剧情 / 同性,英国,英语,9.3,3534
萨勒姆的女巫 The Crucible,2014,Yaël Farber,剧情,英国,英语,9.3,3312
弗兰肯斯坦 National Theatre Live: Frankenstein,2011,丹尼·博伊尔,剧情,英国,英语,9.3,9314
哈库梅伊与蜜珂析OVA：螺丝与床 / 地炉与博弈 ハクメイとミコチOVA「ネジとベッド と 囲炉裏と博打」,2018,安藤正臣,动画 / 奇幻,日本,日语,9.3,826
花为媒,1963,方荧,戏曲,中国大陆,汉语普通话,9.3,4162
永不消逝的电波(舞剧),2020,韩真 / 周莉亚,歌舞 / 历史,中国大陆,无对白,9.3,2687
唔痴线唔正常 唔黐线唔正常,2014,黄子华,脱口秀,中国香港,粤语,9.3,2119
2008年第29届北京奥运会闭幕式 Beijing 2008 Olympic Games Closing Ceremony,2008,张艺谋,真人秀,中国大陆,汉语普通话,9.3,1793
凯蒂猫 阿尔卑斯山的少女海蒂 ハローキティのアルプスの少女ハイジ,1993,石川康夫,动画,日本,日语,9.3,538
北国之恋：1983冬天 北の国から '83冬,1983,杉田成道,剧情,日本,日语,9.3,1535
「既然青春留不住-還是做個大叔好」演唱會巡迴影音紀錄 LIVE,2016,,音乐,中国台湾,汉语普通话,9.3,1266
TFBOYS三周年演唱会,2016,,音乐,中国大陆,汉语普通话,9.3,1296
西蒙·阿姆斯特尔：顺其自然 Simon Amstell: Do Nothing,2010,Michael Matheson,喜剧,英国,英语,9.3,4151
吉米·鸡毛逊毙了！马达翻身当主持 Jimmy Kimmel Sucks!,2013,Jonathan Kimmel,喜剧 / 音乐 / 脱口秀,美国,英语,9.3,2812
牡丹亭,1986,方荧,爱情 / 戏曲,中国大陆,汉语普通话,9.3,2059
跳出我天地音乐剧 Billy Elliot the Musical,2014,史蒂芬·戴德利,剧情 / 喜剧 / 音乐,英国,英语,9.3,2004
